OrderID,OrderDate,CustomerName,Segment,Region,Product,Category,Quantity,UnitPrice,UnitCost,Revenue,Cost,Profit,Status
ORD0001,2024-12-14,Olivia Brown,Small Business,West,Headphones Max,Electronics,4,149.99,80.0,599.96,320.0,279.96,Cancelled
ORD0002,2024-08-02,Karen Page,Small Business,West,Wireless Keyboard,Accessories,2,49.99,25.0,99.98,50.0,49.98,Cancelled
ORD0003,2024-05-29,Eve Wilson,Corporate,West,Monitor HD,Electronics,3,299.99,180.0,899.97,540.0,359.97,Pending
ORD0004,2024-07-10,Leo Garcia,Consumer,North,Mouse Pro,Accessories,2,29.99,12.0,59.98,24.0,35.98,Pending
ORD0005,2024-08-23,Isla Fisher,Consumer,East,Desk Lamp,Office,5,59.99,28.0,299.95,140.0,159.95,Completed
ORD0006,2024-07-06,Olivia Brown,Corporate,South,Desk Lamp,Office,4,59.99,28.0,239.96,112.0,127.96,Completed
ORD0007,2024-11-15,Isla Fisher,Small Business,North,Headphones Max,Electronics,4,149.99,80.0,599.96,320.0,279.96,Completed
ORD0008,2024-11-24,Grace Hopper,Corporate,West,Headphones Max,Electronics,5,149.99,80.0,749.95,400.0,349.95,Completed
ORD0009,2024-09-21,Jack Ryan,Consumer,South,Smartphone X,Electronics,2,599.99,350.0,1199.98,700.0,499.98,Pending
ORD0010,2024-09-20,Olivia Brown,Small Business,South,Headphones Max,Electronics,4,149.99,80.0,599.96,320.0,279.96,Completed
ORD0011,2024-12-25,Diana Prince,Corporate,South,Monitor HD,Electronics,2,299.99,180.0,599.98,360.0,239.98,Completed
ORD0012,2024-07-09,Bob Jones,Corporate,West,Monitor HD,Electronics,5,299.99,180.0,1499.95,900.0,599.95,Completed
ORD0013,2024-09-26,Olivia Brown,Small Business,West,Desk Lamp,Office,4,59.99,28.0,239.96,112.0,127.96,Pending
ORD0014,2024-07-26,Maria Davis,Corporate,East,USB Hub,Accessories,5,39.99,18.0,199.95,90.0,109.95,Cancelled
ORD0015,2024-08-04,Leo Garcia,Consumer,North,Webcam HD,Accessories,2,79.99,40.0,159.98,80.0,79.98,Cancelled
ORD0016,2024-11-22,Isla Fisher,Consumer,West,Laptop Pro,Electronics,1,999.99,600.0,999.99,600.0,399.99,Completed
ORD0017,2024-06-11,Charlie Brown,Consumer,East,Tablet Plus,Electronics,1,449.99,280.0,449.99,280.0,169.99,Cancelled
ORD0018,2024-02-10,Leo Garcia,Small Business,North,Desk Lamp,Office,2,59.99,28.0,119.98,56.0,63.98,Pending
ORD0019,2024-02-17,Grace Hopper,Small Business,South,Smartphone X,Electronics,1,599.99,350.0,599.99,350.0,249.99,Cancelled
ORD0020,2024-12-25,Frank Castle,Small Business,East,Tablet Plus,Electronics,4,449.99,280.0,1799.96,1120.0,679.96,Completed
ORD0021,2024-05-10,Alice Smith,Consumer,South,Tablet Plus,Electronics,5,449.99,280.0,2249.95,1400.0,849.95,Completed
ORD0022,2024-02-11,Leo Garcia,Consumer,East,USB Hub,Accessories,2,39.99,18.0,79.98,36.0,43.98,Completed
ORD0023,2024-04-05,Diana Prince,Corporate,North,Monitor HD,Electronics,5,299.99,180.0,1499.95,900.0,599.95,Cancelled
ORD0024,2024-06-08,Grace Hopper,Small Business,East,Monitor HD,Electronics,5,299.99,180.0,1499.95,900.0,599.95,Pending
ORD0025,2024-02-14,Noah Wilson,Consumer,North,Smartphone X,Electronics,2,599.99,350.0,1199.98,700.0,499.98,Pending
ORD0026,2024-05-07,Jack Ryan,Small Business,West,Monitor HD,Electronics,3,299.99,180.0,899.97,540.0,359.97,Completed
ORD0027,2024-10-09,Noah Wilson,Consumer,West,Headphones Max,Electronics,1,149.99,80.0,149.99,80.0,69.99,Cancelled
ORD0028,2024-12-24,Frank Castle,Small Business,North,USB Hub,Accessories,3,39.99,18.0,119.97,54.0,65.97,Cancelled
ORD0029,2024-08-21,Leo Garcia,Small Business,East,Laptop Pro,Electronics,3,999.99,600.0,2999.97,1800.0,1199.97,Completed
ORD0030,2024-11-13,Alice Smith,Corporate,West,Monitor HD,Electronics,1,299.99,180.0,299.99,180.0,119.99,Pending
ORD0031,2024-04-22,Eve Wilson,Consumer,West,Headphones Max,Electronics,2,149.99,80.0,299.98,160.0,139.98,Completed
ORD0032,2024-05-09,Leo Garcia,Corporate,East,Laptop Pro,Electronics,2,999.99,600.0,1999.98,1200.0,799.98,Cancelled
ORD0033,2024-05-05,Bob Jones,Consumer,West,Laptop Pro,Electronics,1,999.99,600.0,999.99,600.0,399.99,Completed
ORD0034,2024-07-21,Henry Ford,Small Business,North,Mouse Pro,Accessories,4,29.99,12.0,119.96,48.0,71.96,Cancelled
ORD0035,2024-07-16,Frank Castle,Small Business,East,Monitor HD,Electronics,2,299.99,180.0,599.98,360.0,239.98,Completed
ORD0036,2024-07-05,Frank Castle,Consumer,East,USB Hub,Accessories,4,39.99,18.0,159.96,72.0,87.96,Pending
ORD0037,2024-12-11,Charlie Brown,Small Business,East,Monitor HD,Electronics,3,299.99,180.0,899.97,540.0,359.97,Pending
ORD0038,2024-05-07,Grace Hopper,Corporate,West,Headphones Max,Electronics,4,149.99,80.0,599.96,320.0,279.96,Completed
ORD0039,2024-05-30,Olivia Brown,Corporate,South,USB Hub,Accessories,1,39.99,18.0,39.99,18.0,21.99,Completed
ORD0040,2024-05-23,Jack Ryan,Consumer,West,Headphones Max,Electronics,4,149.99,80.0,599.96,320.0,279.96,Pending
ORD0041,2024-10-30,Noah Wilson,Consumer,North,Laptop Pro,Electronics,2,999.99,600.0,1999.98,1200.0,799.98,Completed
ORD0042,2024-08-20,Charlie Brown,Small Business,West,Headphones Max,Electronics,1,149.99,80.0,149.99,80.0,69.99,Completed
ORD0043,2024-04-25,Karen Page,Consumer,West,Monitor HD,Electronics,1,299.99,180.0,299.99,180.0,119.99,Pending
ORD0044,2024-09-10,Charlie Brown,Corporate,North,Mouse Pro,Accessories,4,29.99,12.0,119.96,48.0,71.96,Completed
